timestamp,open,high,low,close,volume,RSI,MACD,MACD_signal,MACD_histograma,bb_upper,bb_lower,bb_middle,volume_ma,retorno_futuro,target
2017-09-19,4060.0,4089.97,3830.91,3910.04,902.332129,45.85882117350136,-148.39876362737823,-119.00047689320108,-29.398286734177148,4983.369135335545,3372.3158646644565,4177.842500000001,957.99097085,-0.06394307986619063,0
2017-09-20,3910.04,4046.08,3820.0,3900.0,720.935076,45.66380787201889,-141.4029850350612,-123.48097852157312,-17.92200651348807,4909.68002839285,3363.51597160715,4136.598,966.18988455,0.005320512820512713,1
2017-09-21,3889.99,3910.0,3567.0,3609.99,1001.654084,40.328957018261576,-157.4452327472336,-130.27382936670523,-27.17140338052837,4810.598081134748,3340.1059188652525,4075.352,988.23927045,0.07544619237172401,1
2017-09-22,3592.84,3750.0,3505.55,3595.87,838.966425,40.08341755181332,-169.3460794419875,-138.0882793817617,-31.257800060225804,4771.403868138694,3291.673131861306,4031.5385,983.73016195,0.1660599521117283,1
2017-09-23,3595.88,3817.19,3542.91,3780.0,752.792791,44.8029074359221,-162.05180173056124,-142.88098385152162,-19.170817879039618,4708.618194410436,3281.5508055895634,3995.0845,986.8089916,0.10436507936507944,1
2017-09-24,3779.54,3789.99,3622.76,3660.02,661.63639,42.45620417587939,-164.0612217375001,-147.11703142871733,-16.944190308782765,4699.331412170749,3246.828587829252,3973.08,950.1585804,0.1406194501669389,1
2017-09-25,3660.02,3979.87,3653.69,3920.75,727.994713,48.73968223787526,-142.96693574022993,-146.28701229101986,3.320076550789935,4654.392605638192,3247.195394361809,3950.794,925.1114082,0.11675317222470194,1
2017-09-26,3928.0,3976.99,3850.05,3882.35,526.727987,47.90992323182332,-127.87406852595586,-142.60442353800707,14.730355012051206,4547.203549049162,3280.642450950838,3913.923,911.07962125,0.12779115741754343,1
2017-09-27,3882.36,4249.94,3872.81,4193.0,628.170966,54.63793732716007,-89.810721636984,-132.04568315780244,42.234961520818445,4430.449344887022,3347.5356551129776,3888.9925,917.4666708,0.04459813975673743,1
2017-09-28,4192.11,4300.0,4101.0,4174.5,849.785325,54.18905908069068,-60.44131057996083,-117.72480864223412,57.283498062273296,4411.160918119835,3355.9940818801647,3883.5775,903.34318475,0.032458977123008825,1
2017-09-29,4178.98,4263.86,3952.01,4174.69,1602.309565,54.19322135377463,-36.7271416825206,-101.5252752502914,64.79813356777082,4396.152800988153,3362.5901990118464,3879.3715,950.5195154,0.008120363428182786,1
2017-09-30,4175.0,4380.0,4138.1,4378.51,720.353183,58.54454080809203,-1.469976401819622,-81.51421548059707,80.04423907877745,4442.845626120774,3340.7113738792277,3891.7785,953.5185108,-0.01965965591034391,0
2017-10-01,4378.49,4406.52,4240.04,4378.48,726.963685,58.543659292044566,26.167517495046923,-59.97786888546827,86.14538638051519,4475.346745814359,3325.2112541856413,3900.279,954.8672418,-0.002165134932670565,0
2017-10-02,4400.0,4561.63,4360.0,4380.0,655.756974,58.5776911091292,47.64387291287676,-38.45352052579926,86.09739343867602,4513.074193530169,3309.1118064698303,3911.093,943.6735745499998,0.00981735159817343,1
2017-10-03,4380.0,4467.33,4180.8,4310.0,1082.323563,56.2861134958839,58.343081597354285,-19.094200101168557,77.43728169852284,4555.973573750231,3302.743426249769,3929.3585,952.11662545,0.07656612529002316,1
2017-10-04,4314.9,4373.0,4142.0,4208.59,868.465101,53.04837455449202,57.97108747154744,-3.681142586625356,61.65223005817279,4517.202949752827,3443.471050247172,3980.337,912.28880335,0.13742369772299035,1
